event_time,coef,ci_low,ci_high,p_value,pretrend_pvalue
-5,-0.5329990045181104,-1.8853176274492616,0.8193196184130406,0.4398215356598003,0.0951192060026327
-4,-0.9550434303044564,-2.1209456306623693,0.2108587700534563,0.1083848044197612,0.0951192060026327
-3,-0.9311313320441124,-2.215910603956375,0.3536479398681504,0.1554723766430519,0.0951192060026327
-2,-0.4738551146601293,-1.2385438112644929,0.2908335819442342,0.2245446046043374,0.0951192060026327
0,-0.7298088425543978,-1.8654405729548849,0.405822887846089,0.2078272605226965,0.0951192060026327
1,-0.2201923887429884,-1.424825944441904,0.9844411669559272,0.720150529763238,0.0951192060026327
2,-0.6103578379683755,-1.825125598485948,0.6044099225491973,0.3247319910081999,0.0951192060026327
3,-0.3730868046043152,-1.7131897257510724,0.967016116542442,0.5853016526865442,0.0951192060026327
4,-0.278458508394831,-1.4501281629319214,0.8932111461422594,0.6413556575579307,0.0951192060026327
5,-0.059993057315357,-0.9958057217430027,0.8758196071122887,0.9000095148918985,0.0951192060026327
